source,source_user_id,target,target_user_id,weight,N
Dev559,308,Dev308,559,0.462,4
Dev27,27,Dev36,36,0.462,4
Dev541,36,Dev36,541,0.462,4
Dev570,463,Dev463,570,0.462,4
Dev516,36,Dev36,516,0.462,4
Dev282,282,Dev370,370,0.462,5
Dev36,36,Dev363,363,0.462,4
Dev36,36,Dev560,560,0.462,4
Dev520,36,Dev36,520,0.462,4
Dev36,36,Dev425,425,0.462,4
Dev543,36,Dev36,543,0.462,4
Dev36,36,Dev574,574,0.462,4
Dev36,36,Dev447,447,0.462,4
Dev36,36,Dev411,411,0.462,4
Dev36,36,Dev482,482,0.462,4
Dev5,5,Dev559,559,0.462,4
Dev544,36,Dev36,544,0.462,4
Dev36,36,Dev500,500,0.462,4
Dev425,425,Dev448,448,0.461,4
Dev544,448,Dev448,544,0.461,4
Dev14,14,Dev241,241,0.461,4
Dev180,180,Dev391,391,0.461,5
Dev448,448,Dev500,500,0.461,4
Dev411,411,Dev448,448,0.461,4
Dev363,363,Dev448,448,0.461,4
Dev516,448,Dev448,516,0.461,4
Dev447,447,Dev448,448,0.461,4
Dev560,448,Dev448,560,0.461,4
Dev448,448,Dev482,482,0.461,4
Dev168,168,Dev263,263,0.459,5
Dev77,77,Dev365,365,0.459,5
Dev558,558,Dev583,583,0.458,5
Dev18,18,Dev183,183,0.457,5
Dev27,27,Dev492,492,0.457,4
Dev543,492,Dev492,543,0.455,4
Dev242,242,Dev500,500,0.455,4
Dev544,492,Dev492,544,0.455,4
Dev538,351,Dev351,538,0.455,5
Dev57,57,Dev65,65,0.451,5
Dev65,65,Dev67,67,0.451,5
Dev568,568,Dev571,571,0.45,5
Dev558,558,Dev568,568,0.45,5
Dev77,77,Dev104,104,0.45,4
Dev445,445,Dev484,484,0.45,5
Dev558,558,Dev571,571,0.45,5
Dev29,241,Dev241,29,0.449,4
Dev77,77,Dev146,146,0.448,5
Dev143,146,Dev146,143,0.448,5
Dev7,7,Dev491,491,0.448,5
Dev220,220,Dev305,305,0.448,5
Dev574,305,Dev305,574,0.447,4
Dev308,308,Dev492,492,0.447,4
Dev282,282,Dev498,498,0.447,5
Dev541,305,Dev305,541,0.447,4
Dev5,5,Dev492,492,0.447,4
Dev282,282,Dev415,415,0.447,5
Dev33,94,Dev94,33,0.447,5
Dev316,336,Dev336,316,0.446,5
Dev220,220,Dev363,363,0.446,5
Dev308,308,Dev357,357,0.446,5
Dev27,27,Dev308,308,0.446,5
Dev27,27,Dev357,357,0.446,5
Dev27,27,Dev220,220,0.446,5
Dev5,5,Dev357,357,0.446,5
Dev359,411,Dev411,359,0.445,5
Dev359,359,Dev482,482,0.445,5
Dev359,359,Dev500,500,0.445,5
Dev359,425,Dev425,359,0.445,5
Dev560,359,Dev359,560,0.445,5
Dev29,225,Dev225,29,0.445,5
Dev516,359,Dev359,516,0.445,5
Dev359,447,Dev447,359,0.445,5
Dev544,359,Dev359,544,0.445,5
Dev317,336,Dev336,317,0.444,5
Dev3,3,Dev85,85,0.443,3
Dev3,3,Dev89,89,0.443,3
Dev3,3,Dev223,223,0.443,3
Dev562,450,Dev450,562,0.442,5
Dev282,282,Dev398,398,0.44,6
Dev14,14,Dev53,53,0.44,3
Dev561,463,Dev463,561,0.44,5
Dev308,308,Dev500,500,0.439,5
Dev140,290,Dev290,140,0.437,5
Dev563,461,Dev461,563,0.436,5
Dev241,241,Dev404,404,0.436,5
Dev241,241,Dev270,270,0.435,4
Dev242,242,Dev503,503,0.435,4
Dev516,324,Dev324,516,0.434,5
Dev324,447,Dev447,324,0.434,5
Dev324,425,Dev425,324,0.434,5
Dev560,324,Dev324,560,0.434,5
Dev544,324,Dev324,544,0.434,5
Dev282,399,Dev399,282,0.434,5
Dev77,77,Dev205,205,0.433,5
Dev305,324,Dev324,305,0.432,5
Dev558,463,Dev463,558,0.432,5
Dev174,174,Dev494,494,0.431,5
Dev194,194,Dev305,305,0.43,3
Dev169,281,Dev281,169,0.43,4
Dev169,169,Dev354,354,0.43,4
Dev115,115,Dev305,305,0.43,3
Dev5,5,Dev115,115,0.43,3
Dev71,71,Dev169,169,0.43,4
Dev558,558,Dev570,570,0.429,5
Dev3,3,Dev211,211,0.429,3
Dev563,563,Dev570,570,0.429,5
Dev305,305,Dev492,492,0.428,4
Dev77,77,Dev362,362,0.428,5
Dev93,193,Dev193,93,0.428,6
Dev225,225,Dev227,227,0.428,5
Dev305,305,Dev503,503,0.428,4
Dev559,305,Dev305,559,0.428,4
Dev549,549,Dev565,565,0.427,5
Dev137,292,Dev292,137,0.426,3
Dev53,53,Dev142,142,0.426,3
Dev229,229,Dev292,292,0.426,3
Dev290,290,Dev292,292,0.426,3
Dev229,229,Dev300,300,0.426,3
Dev290,290,Dev300,300,0.426,3
Dev5,5,Dev326,326,0.426,5
Dev143,143,Dev214,214,0.426,5
Dev292,292,Dev300,300,0.426,3
Dev137,137,Dev300,300,0.426,3
Dev228,228,Dev292,292,0.426,3
Dev81,81,Dev143,143,0.426,5
Dev53,53,Dev225,225,0.426,3
Dev142,142,Dev300,300,0.426,3
Dev53,53,Dev292,292,0.426,3
Dev225,225,Dev292,292,0.426,3
Dev228,228,Dev300,300,0.426,3
Dev81,81,Dev214,214,0.426,5
Dev81,81,Dev145,145,0.426,5
Dev225,225,Dev300,300,0.426,3
Dev77,77,Dev214,214,0.426,5
Dev53,53,Dev228,228,0.426,3
Dev53,53,Dev229,229,0.426,3
Dev53,53,Dev290,290,0.426,3
Dev202,202,Dev282,282,0.425,5
Dev27,27,Dev503,503,0.425,5
Dev282,282,Dev336,336,0.424,5
Dev242,242,Dev411,411,0.423,5
Dev484,484,Dev491,491,0.423,5
Dev161,161,Dev392,392,0.421,3
Dev389,389,Dev392,392,0.421,3
Dev392,392,Dev439,439,0.421,3
Dev161,161,Dev439,439,0.421,3
Dev161,161,Dev389,389,0.421,3
Dev81,81,Dev316,316,0.42,5
Dev81,81,Dev282,282,0.42,5
Dev5,5,Dev369,369,0.419,3
Dev14,14,Dev94,94,0.419,5
Dev5,5,Dev503,503,0.418,5
Dev27,27,Dev448,448,0.417,5
Dev183,183,Dev438,438,0.416,3
Dev3,3,Dev103,103,0.416,3
Dev103,103,Dev247,247,0.416,3
Dev29,270,Dev270,29,0.416,5
Dev63,63,Dev263,263,0.415,6
Dev103,103,Dev447,447,0.414,3
Dev53,53,Dev71,71,0.413,3
Dev105,105,Dev351,351,0.411,6
Dev282,282,Dev423,423,0.411,5
Dev53,53,Dev468,468,0.41,3
Dev53,53,Dev472,472,0.409,3
Dev391,391,Dev472,472,0.409,3
Dev53,53,Dev390,390,0.409,3
Dev53,53,Dev391,391,0.409,3
Dev390,390,Dev472,472,0.409,3
Dev71,211,Dev211,71,0.408,3
Dev316,317,Dev317,316,0.407,6
Dev3,3,Dev71,71,0.407,3
Dev29,138,Dev138,29,0.406,3
Dev161,161,Dev472,472,0.405,3
Dev137,137,Dev335,335,0.405,3
Dev137,137,Dev458,458,0.405,3
Dev137,137,Dev468,468,0.405,3
Dev291,291,Dev336,336,0.405,3
Dev105,105,Dev193,193,0.404,3
Dev241,241,Dev291,291,0.404,3
Dev8,8,Dev290,290,0.404,3
Dev538,105,Dev105,538,0.403,6
Dev415,415,Dev498,498,0.403,6
Dev316,316,Dev415,415,0.403,6
Dev316,316,Dev498,498,0.403,6
Dev317,317,Dev498,498,0.402,3
Dev336,336,Dev398,398,0.402,3
Dev336,336,Dev467,467,0.402,3
Dev317,317,Dev415,415,0.402,3
Dev67,67,Dev262,262,0.402,6
Dev94,94,Dev103,103,0.401,3
Dev77,77,Dev81,81,0.401,6
Dev522,303,Dev303,522,0.4,3
Dev262,262,Dev303,303,0.4,3
Dev67,67,Dev303,303,0.4,3
Dev543,305,Dev305,543,0.399,5
Dev282,282,Dev437,437,0.399,3
Dev282,282,Dev414,414,0.399,3
Dev38,38,Dev71,71,0.398,3
Dev65,65,Dev74,74,0.398,3
Dev67,67,Dev261,261,0.398,3
Dev65,65,Dev261,261,0.398,3
Dev67,67,Dev74,74,0.398,3
Dev561,561,Dev563,563,0.397,6
Dev138,290,Dev290,138,0.397,6
Dev103,103,Dev194,194,0.396,3
Dev7,103,Dev103,7,0.396,3
Dev7,7,Dev194,194,0.396,3
Dev335,335,Dev458,458,0.395,6
Dev539,303,Dev303,539,0.395,3
Dev539,57,Dev57,539,0.395,3
Dev205,351,Dev351,205,0.394,3
Dev103,103,Dev394,394,0.394,3
Dev105,105,Dev205,205,0.394,3
Dev205,205,Dev311,311,0.394,3
Dev541,394,Dev394,541,0.393,3
Dev305,446,Dev446,305,0.393,5
Dev520,305,Dev305,520,0.393,5
Dev563,463,Dev463,563,0.391,6
Dev389,389,Dev391,391,0.39,3
Dev389,389,Dev390,390,0.39,3
Dev390,390,Dev439,439,0.39,3
Dev391,439,Dev439,391,0.39,3
Dev93,93,Dev414,414,0.389,3
Dev93,93,Dev437,437,0.389,3
Dev154,154,Dev349,349,0.388,3
Dev154,353,Dev353,154,0.388,3
Dev349,353,Dev353,349,0.388,3
Dev77,77,Dev154,154,0.388,3
Dev205,353,Dev353,205,0.388,3
Dev465,465,Dev466,466,0.387,6
Dev282,282,Dev394,394,0.387,3
Dev131,131,Dev465,465,0.387,6
Dev131,131,Dev466,466,0.387,6
Dev181,181,Dev335,335,0.387,3
Dev181,181,Dev458,458,0.387,3
Dev181,181,Dev468,468,0.387,3
Dev317,370,Dev370,317,0.387,3
Dev180,181,Dev181,180,0.387,3
Dev180,180,Dev458,458,0.387,3
Dev180,335,Dev335,180,0.387,3
Dev583,463,Dev463,583,0.386,3
Dev77,77,Dev145,145,0.386,6
Dev62,62,Dev241,241,0.386,3
Dev563,563,Dev583,583,0.386,3
Dev38,38,Dev161,161,0.386,3
Dev143,143,Dev145,145,0.386,6
Dev559,492,Dev492,559,0.386,5
Dev492,492,Dev503,503,0.386,5
Dev561,561,Dev583,583,0.386,3
Dev516,308,Dev308,516,0.385,3
Dev357,425,Dev425,357,0.385,3
Dev247,282,Dev282,247,0.385,3
Dev316,316,Dev458,458,0.385,3
Dev316,335,Dev335,316,0.385,3
Dev308,447,Dev447,308,0.385,3
Dev516,357,Dev357,516,0.385,3
Dev357,359,Dev359,357,0.385,3
Dev357,447,Dev447,357,0.385,3
Dev308,425,Dev425,308,0.385,3
Dev53,53,Dev291,291,0.384,3
Dev161,291,Dev291,161,0.384,3
Dev53,53,Dev119,119,0.384,3
Dev119,119,Dev161,161,0.384,3
Dev5,5,Dev308,308,0.383,6
Dev242,242,Dev324,324,0.383,3
Dev250,250,Dev351,351,0.383,3
Dev250,250,Dev311,311,0.383,3
Dev265,351,Dev351,265,0.383,3
Dev143,316,Dev316,143,0.383,3
